frame,throttle,vx,vy,r,up,left,right	
108,5.0000,-25.6123,59.5940,-0.8589,1,0,0	
109,5.0000,-26.9934,59.5968,-0.8608,1,0,0	
110,5.0000,-28.3687,59.5981,-0.8617,1,0,0	
111,5.0000,-29.7370,59.5981,-0.8616,1,0,0	
112,5.0000,-31.0974,59.5968,-0.8607,1,0,0	
113,5.0000,-32.4489,59.5943,-0.8591,1,0,0	
114,5.0000,-33.7905,59.5908,-0.8568,1,0,0	
115,5.0000,-35.1216,59.5864,-0.8538,1,0,0	
116,5.0000,-36.4415,59.5811,-0.8503,1,0,0	
117,5.0000,-37.7494,59.5751,-0.8463,1,0,0	
118,5.0000,-39.0449,59.5684,-0.8418,1,0,0	
119,5.0000,-40.3273,59.5611,-0.8369,1,0,0	
120,5.0000,-41.5962,59.5533,-0.8316,1,0,0	
121,5.0000,-42.8513,59.5450,-0.8259,1,0,0	
122,5.0000,-44.0920,59.5364,-0.8200,1,0,0	
123,5.0000,-45.3180,59.5274,-0.8138,1,0,0	
124,5.0000,-46.5291,59.5181,-0.8073,1,0,0	
125,5.0000,-47.7249,59.0290,-0.8007,1,0,0	
126,5.0000,-48.9052,59.4987,-0.7938,1,0,0	
127,5.0000,-50.0698,59.4888,-0.7868,1,0,0	
128,5.0000,-51.2184,59.4788,-0.7796,1,0,0	
129,5.0000,-52.3510,59.4686,-0.7723,1,0,0	
130,5.0000,-53.4673,59.4584,-0.7649,1,0,0	
131,5.0000,-54.5672,59.4481,-0.7575,1,0,0	
132,5.0000,-55.6507,59.4378,-0.7499,1,0,0	
133,5.0000,-56.7176,59.4275,-0.7423,1,0,0	
134,5.0000,-57.7679,59.4172,-0.7346,1,0,0	
135,5.0000,-58.8016,59.4070,-0.7269,1,0,0	
136,5.0000,-59.8185,59.3968,-0.7192,1,0,0	
137,5.0000,-60.8187,59.3867,-0.7114,1,0,0	
138,5.0000,-61.8022,59.3767,-0.7037,1,0,0	
139,5.0000,-62.7690,59.3668,-0.6959,1,0,0	
140,5.0000,-63.7190,58.7268,-0.6882,1,0,0	
141,5.0000,-64.6524,58.0804,-0.6805,1,0,0	
142,5.0000,-65.5692,57.4276,-0.6727,1,0,0	
143,5.0000,-66.4694,56.7686,-0.6651,1,0,0	
144,5.0000,-67.3531,59.3188,-0.6574,1,0,0	
145,5.0000,-68.2204,58.6318,-0.6498,1,0,0	
146,5.0000,-69.0713,57.9391,-0.6422,1,0,0	
147,5.0000,-69.9059,57.2410,-0.6347,1,0,0	
148,5.0000,-70.7244,56.5376,-0.6272,1,0,0	
149,5.0000,-71.5267,55.8291,-0.6198,1,0,0	
150,5.0000,-72.3131,55.1156,-0.6124,1,0,0	
151,5.0000,-73.0836,54.3974,-0.6051,1,0,0	
152,5.0000,-73.8383,53.6746,-0.5979,1,0,0	
153,5.0000,-74.5774,52.9474,-0.5907,1,0,0	
154,5.0000,-75.3009,59.2333,-0.5835,1,0,0	
155,5.0000,-76.0091,58.4627,-0.5765,1,0,0	
156,5.0000,-76.7020,57.6885,-0.5695,1,0,0	
157,5.0000,-77.3798,56.9107,-0.5625,1,0,0	
158,5.0000,-78.0259,56.1204,-0.5461,1,0,1	
159,5.0000,-78.6249,55.3081,-0.5204,1,0,1	
160,5.0000,-79.1606,59.1352,-0.4859,1,0,1	
161,5.0000,-79.6167,58.2362,-0.4426,1,0,1	
162,5.0000,-79.9767,57.3001,-0.3910,1,0,1	
163,5.0000,-80.2236,56.3267,-0.3312,1,0,1	
164,5.0000,-80.3406,58.9737,-0.2635,1,0,1	
165,5.0000,-80.3109,57.9189,-0.1882,1,0,1	
166,5.0000,-80.1185,58.9160,-0.1054,1,0,1	
167,5.0000,-79.7484,57.8267,-0.0153,1,0,1	
168,5.0000,-79.1874,58.9116,0.0817,1,0,1	
169,5.0000,-78.4547,57.8498,0.1701,1,0,0	
170,5.0000,-77.5691,56.8266,0.2505,1,0,0	
171,5.0000,-76.5486,59.0073,0.3236,1,0,0	
172,5.0000,-75.4094,59.0534,0.3899,1,0,0	
173,5.0000,-74.1668,59.1021,0.4500,1,0,0	
174,5.0000,-72.8343,59.1518,0.5044,1,0,0	
175,5.0000,-71.4242,58.3571,0.5534,1,0,0	
176,5.0000,-69.9473,59.2489,0.5976,1,0,0	
177,5.0000,-68.4134,59.2947,0.6374,1,0,0	
